number_training,number_testing,number_cascade,train_error,test_error
10,10,3,0.0,0.04150390625
10,10,3,0.0,0.0408203125
10,10,3,0.0,0.03994140625
10,10,3,0.0,0.04033203125
10,10,3,0.0,0.03251953125
10,50,3,0.0,0.03974609375
10,50,3,0.0,0.0417578125
10,50,3,0.0,0.04451171875
10,50,3,0.0,0.04451171875
10,50,3,0.0,0.04431640625
10,100,3,0.0,0.042978515625
10,100,3,0.0,0.043525390625
10,100,3,0.0,0.04140625
10,100,3,0.0,0.042412109375
10,100,3,0.0,0.0464453125
10,500,3,0.0,0.045607421875
10,500,3,0.0,0.044875
10,500,3,0.0,0.04364453125
10,500,3,0.0,0.04253515625
10,500,3,0.0,0.046689453125
50,10,3,0.0,0.01015625
50,10,3,0.0,0.0130859375
50,10,3,0.0,0.01240234375
50,10,3,0.0,0.01025390625
50,10,3,0.0,0.0134765625
50,50,3,0.0,0.01013671875
50,50,3,0.0,0.011328125
50,50,3,0.0,0.01126953125
50,50,3,0.0,0.01185546875
50,50,3,0.0,0.01099609375
50,100,3,0.0,0.011357421875
50,100,3,0.0,0.01228515625
50,100,3,0.0,0.0101953125
50,100,3,0.0,0.0109375
50,100,3,0.0,0.010712890625
50,500,3,0.0,0.011408203125
50,500,3,0.0,0.012
50,500,3,0.0,0.01139453125
50,500,3,0.0,0.011349609375
50,500,3,0.0,0.010791015625
100,10,3,0.0,0.004296875
100,10,3,0.0,0.00419921875
100,10,3,0.0,0.005078125
100,10,3,0.0,0.0068359375
100,10,3,0.0,0.00927734375
100,50,3,0.0,0.0062890625
100,50,3,0.0,0.00447265625
100,50,3,0.0,0.00615234375
100,50,3,0.0,0.0048046875
100,50,3,0.0,0.0051953125
100,100,3,0.0,0.005439453125
100,100,3,0.0,0.00490234375
100,100,3,0.0,0.005830078125
100,100,3,0.0,0.005009765625
100,100,3,0.0,0.0051171875
100,500,3,0.0,0.004990234375
100,500,3,0.0,0.00555078125
100,500,3,0.0,0.005337890625
100,500,3,0.0,0.0050078125
100,500,3,0.0,0.00556640625
500,10,3,0.0,0.000390625
500,10,3,0.0,0.0
500,10,3,0.0,9.765625e-05
500,10,3,0.0,9.765625e-05
500,10,3,0.0,0.00048828125
500,50,3,0.0,0.00021484375
500,50,3,0.0,0.00021484375
500,50,3,0.0,7.8125e-05
500,50,3,0.0,0.000234375
500,50,3,0.0,0.00029296875
500,100,3,0.0,0.000478515625
500,100,3,0.0,0.00037109375
500,100,3,0.0,0.000234375
500,100,3,0.0,0.000185546875
500,100,3,0.0,0.000126953125
500,500,3,0.0,0.00035546875
500,500,3,0.0,0.000484375
500,500,3,0.0,0.0002734375
500,500,3,0.0,0.000326171875
500,500,3,0.0,0.0004453125
